Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
0.07867978,386234.40671991,-932.48092862,951.62587609,-0.91184931,-1.35580504,-0.11573572
0.08001334,386122.85218013,-1083.50908762,933.33285776,-1.02283945,-1.26347300,-0.20152204
0.08134689,385999.11873536,-1223.12281132,905.26836741,-1.12306672,-1.15784521,-0.28520245
0.08268045,385864.50873667,-1349.85311634,867.72593473,-1.21147038,-1.04003684,-0.36589809
0.08401400,385720.43962437,-1462.36707907,821.09862564,-1.28711522,-0.91129235,-0.44276159
0.08534756,385568.42886894,-1559.48197686,765.87488875,-1.34920166,-0.77297216,-0.51498612
0.08668111,385410.07783852,-1640.17781366,702.63338382,-1.39707427,-0.62653796,-0.58181400
0.08801467,385247.05476977,-1703.60809193,632.03684850,-1.43022877,-0.47353698,-0.64254476
0.08934822,385081.07703076,-1749.10871718,554.82507237,-1.44831736,-0.31558532,-0.69654257
0.09068178,384913.89287029,-1776.20493789,471.80705496,-1.45115226,-0.15435061,-0.74324295
0.09201534,384747.26285487,-1784.61625219,383.85243587,-1.43870760,0.00846597,-0.78215870
0.09334889,384582.94119602,-1774.25922935,291.88229026,-1.41111942,0.17114786,-0.81288495
0.09468245,384422.65717131,-1745.24822481,196.85939231,-1.36868405,0.33198146,-0.83510337
0.09601600,384268.09684072,-1697.89398390,99.77805208,-1.31185464,0.48927441,-0.84858535
0.09734956,384120.88525428,-1632.70016043,1.65363734,-1.24123608,0.64137348,-0.85319426
0.09868311,383982.56934195,-1550.35779142,-96.48810689,-1.15757825,0.78668211,-0.84888673
0.10001667,383854.60166539,-1451.73779944,-193.62182598,-1.06176784,0.92367711,-0.83571287
0.10135023,383738.32520371,-1337.88160672,-288.73329580,-0.95481860,1.05092467,-0.81381556
0.10268378,383634.95932866,-1209.98997335,-380.83002190,-0.83786043,1.16709518,-0.78342874
0.10401734,383545.58711548,-1069.41018167,-468.95158628,-0.71212720,1.27097705,-0.74487475
0.10535089,383471.14411452,-917.62171376,-552.17963482,-0.57894352,1.36148910,-0.69856073
0.10668445,383412.40869851,-756.22057563,-629.64740193,-0.43971069,1.43769155,-0.64497422
0.10801800,383369.99407553,-586.90244214,-700.54867650,-0.29589184,1.49879557,-0.58467785
0.10935156,383344.34204790,-411.44480029,-764.14611747,-0.14899655,1.54417104,-0.51830340
0.11068511,383335.71856905,-231.68828367,-819.77883796,-0.00056499,1.57335286,-0.44654502
0.11201867,383344.21114181,-49.51739189,-866.86918133,0.14784811,1.58604529,-0.37015203
0.11335223,383369.72807157,133.15920215,-904.92862570,0.29468964,1.58212477,-0.28992098
0.11468578,383411.99958023,314.42855517,-933.56275784,0.43842414,1.56164075,-0.20668747
0.11601934,383470.58075702,492.39336207,-952.47527234,0.57754970,1.52481493,-0.12131741
0.11735289,383544.85631487,665.19166812,-961.47095647,0.71061333,1.47203867,-0.03469817
0.11868645,383634.04709370,831.01618615,-960.45763674,0.83622591,1.40386868,0.05227057
0.12002000,383737.21824438,988.13302422,-949.44706799,0.95307638,1.32102114,0.13868601
0.12135356,383853.28900261,1134.89963826,-928.55476147,1.05994514,1.22436412,0.22365147
0.12268711,383981.04395539,1269.78182924,-897.99875333,1.15571650,1.11490861,0.30628548
0.12402067,384119.14568089,1391.36961870,-858.09733000,1.23939011,0.99379801,0.38573083
0.12535423,384266.14863733,1498.39184246,-809.26573184,1.31009116,0.86229643,0.46116321
0.12668778,384420.51415788,1589.72932075,-752.01187110,1.36707936,0.72177568,0.53179968
0.12802134,384580.62640455,1664.42647009,-686.93110409,1.40975659,0.57370126,0.59690659
0.12935489,384744.80911947,1721.70124440,-614.70011186,1.43767311,0.41961740,0.65580715
0.13068845,384911.34300873,1760.95330006,-536.06994687,1.45053230,0.26113124,0.70788831
0.13202200,385078.48358400,1781.77030580,-451.85831584,1.44819386,0.09989638,0.75260711
0.13335556,385244.47928475,1783.93232524,-362.94117227,1.43067546,-0.06240399,0.78949633
