Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-3.97599400,613960.59141086,-280212.38268453,30677.41711599,-1.55883343,0.04487352,-0.08266856
-3.97499375,613825.88801366,-280208.47994486,30670.27260935,-1.55852119,0.04544507,-0.08267219
-3.97399350,613691.21160735,-280204.52781639,30663.12778855,-1.55820880,0.04601649,-0.08267583
-3.97299325,613556.56220538,-280200.52630954,30655.98265350,-1.55789625,0.04658780,-0.08267947
-3.97199300,613421.93982122,-280196.47543471,30648.83720408,-1.55758354,0.04715899,-0.08268310
-3.97099275,613287.34446831,-280192.37520232,30641.69144020,-1.55727068,0.04773005,-0.08268674
-3.96999250,613152.77616011,-280188.22562277,30634.54536176,-1.55695766,0.04830100,-0.08269038
-3.96899225,613018.23491004,-280184.02670650,30627.39896864,-1.55664449,0.04887182,-0.08269403
-3.96799200,612883.72073156,-280179.77846392,30620.25226074,-1.55633116,0.04944252,-0.08269767
-3.96699175,612749.23363809,-280175.48090546,30613.10523797,-1.55601768,0.05001311,-0.08270131
-3.96599150,612614.77364306,-280171.13404154,30605.95790021,-1.55570404,0.05058357,-0.08270496
-3.96499125,612480.34075989,-280166.73788260,30598.81024737,-1.55539025,0.05115391,-0.08270860
-3.96399100,612345.93500202,-280162.29243907,30591.66227933,-1.55507630,0.05172413,-0.08271225
-3.96299075,612211.55638285,-280157.79772139,30584.51399600,-1.55476219,0.05229423,-0.08271590
-3.96199050,612077.20491579,-280153.25373999,30577.36539727,-1.55444793,0.05286421,-0.08271955
-3.96099025,611942.88061426,-280148.66050533,30570.21648303,-1.55413352,0.05343407,-0.08272320
-3.95999000,611808.58349165,-280144.01802783,30563.06725319,-1.55381895,0.05400380,-0.08272686
-3.95898975,611674.31356137,-280139.32631797,30555.91770763,-1.55350422,0.05457342,-0.08273051
-3.95798950,611540.07083681,-280134.58538617,30548.76784626,-1.55318934,0.05514291,-0.08273416
-3.95698925,611405.85533135,-280129.79524291,30541.61766897,-1.55287431,0.05571229,-0.08273782
-3.95598900,611271.66705839,-280124.95589864,30534.46717565,-1.55255912,0.05628154,-0.08274148
-3.95498875,611137.50603131,-280120.06736381,30527.31636620,-1.55224378,0.05685067,-0.08274514
-3.95398850,611003.37226347,-280115.12964890,30520.16524052,-1.55192828,0.05741969,-0.08274880
-3.95298825,610869.26576827,-280110.14276437,30513.01379850,-1.55161262,0.05798858,-0.08275246
-3.95198800,610735.18655906,-280105.10672068,30505.86204003,-1.55129681,0.05855734,-0.08275612
-3.95098775,610601.13464921,-280100.02152832,30498.70996502,-1.55098085,0.05912599,-0.08275978
-3.94998750,610467.11005207,-280094.88719775,30491.55757336,-1.55066473,0.05969452,-0.08276345
-3.94898725,610333.11278101,-280089.70373946,30484.40486494,-1.55034846,0.06026292,-0.08276711
-3.94798700,610199.14284938,-280084.47116392,30477.25183965,-1.55003203,0.06083121,-0.08277078
-3.94698675,610065.20027051,-280079.18948163,30470.09849741,-1.54971545,0.06139937,-0.08277445
-3.94598650,609931.28505776,-280073.85870306,30462.94483809,-1.54939872,0.06196741,-0.08277812
-3.94498625,609797.39722446,-280068.47883871,30455.79086159,-1.54908183,0.06253533,-0.08278179
-3.94398600,609663.53678395,-280063.04989907,30448.63656782,-1.54876478,0.06310313,-0.08278546
-3.94298575,609529.70374956,-280057.57189464,30441.48195666,-1.54844759,0.06367081,-0.08278913
-3.94198550,609395.89813460,-280052.04483592,30434.32702801,-1.54813023,0.06423836,-0.08279281
-3.94098525,609262.11995240,-280046.46873340,30427.17178177,-1.54781273,0.06480580,-0.08279648
-3.93998500,609128.36921628,-280040.84359760,30420.01621782,-1.54749507,0.06537311,-0.08280016
-3.93898475,608994.64593955,-280035.16943902,30412.86033607,-1.54717725,0.06594030,-0.08280384
-3.93798450,608860.95013552,-280029.44626818,30405.70413642,-1.54685928,0.06650737,-0.08280752
-3.93698425,608727.28181748,-280023.67409558,30398.54761874,-1.54654116,0.06707431,-0.08281120
-3.93598400,608593.64099875,-280017.85293174,30391.39078295,-1.54622289,0.06764114,-0.08281488
-3.93498375,608460.02769261,-280011.98278719,30384.23362893,-1.54590446,0.06820784,-0.08281856
-3.93398350,608326.44191235,-280006.06367244,30377.07615659,-1.54558587,0.06877443,-0.08282225
-3.93298325,608192.88367126,-280000.09559802,30369.91836580,-1.54526713,0.06934089,-0.08282593
-3.93198300,608059.35298262,-279994.07857447,30362.76025648,-1.54494824,0.06990722,-0.08282962
-3.93098275,607925.84985971,-279988.01261230,30355.60182851,-1.54462920,0.07047344,-0.08283331
-3.92998250,607792.37431580,-279981.89772207,30348.44308179,-1.54431000,0.07103954,-0.08283700
-3.92898225,607658.92636416,-279975.73391429,30341.28401622,-1.54399065,0.07160551,-0.08284069
-3.92798200,607525.50601805,-279969.52119952,30334.12463168,-1.54367114,0.07217136,-0.08284438
-3.92698175,607392.11329073,-279963.25958830,30326.96492808,-1.54335148,0.07273709,-0.08284807
-3.92598150,607258.74819546,-279956.94909117,30319.80490530,-1.54303167,0.07330269,-0.08285176
-3.92498125,607125.41074549,-279950.58971868,30312.64456325,-1.54271171,0.07386818,-0.08285546
-3.92398100,606992.10095406,-279944.18148139,30305.48390181,-1.54239159,0.07443354,-0.08285915
-3.92298075,606858.81883443,-279937.72438984,30298.32292088,-1.54207132,0.07499878,-0.08286285
-3.92198050,606725.56439981,-279931.21845460,30291.16162036,-1.54175089,0.07556390,-0.08286655
-3.92098025,606592.33766346,-279924.66368623,30284.00000014,-1.54143031,0.07612890,-0.08287025
-3.91997999,606459.13863859,-279918.06009530,30276.83806011,-1.54110958,0.07669377,-0.08287395
-3.91897974,606325.96733843,-279911.40769236,30269.67580018,-1.54078870,0.07725852,-0.08287765
-3.91797949,606192.82377621,-279904.70648798,30262.51322022,-1.54046766,0.07782315,-0.08288136
-3.91697924,606059.70796513,-279897.95649275,30255.35032014,-1.54014647,0.07838766,-0.08288506
-3.91597899,605926.61991841,-279891.15771723,30248.18709983,-1.53982513,0.07895204,-0.08288877
-3.91497874,605793.55964926,-279884.31017201,30241.02355919,-1.53950363,0.07951630,-0.08289248
-3.91397849,605660.52717088,-279877.41386766,30233.85969811,-1.53918198,0.08008044,-0.08289618
-3.91297824,605527.52249647,-279870.46881477,30226.69551648,-1.53886018,0.08064446,-0.08289989
-3.91197799,605394.54563922,-279863.47502393,30219.53101420,-1.53853823,0.08120835,-0.08290360
-3.91097774,605261.59661231,-279856.43250572,30212.36619116,-1.53821612,0.08177213,-0.08290732
-3.90997749,605128.67542895,-279849.34127075,30205.20104726,-1.53789386,0.08233577,-0.08291103
-3.90897724,604995.78210230,-279842.20132959,30198.03558239,-1.53757145,0.08289930,-0.08291474
-3.90797699,604862.91664554,-279835.01269286,30190.86979644,-1.53724889,0.08346270,-0.08291846
-3.90697674,604730.07907185,-279827.77537116,30183.70368930,-1.53692617,0.08402599,-0.08292218
-3.90597649,604597.26939439,-279820.48937508,30176.53726088,-1.53660330,0.08458914,-0.08292590
-3.90497624,604464.48762633,-279813.15471524,30169.37051107,-1.53628028,0.08515218,-0.08292962
-3.90397599,604331.73378082,-279805.77140224,30162.20343975,-1.53595711,0.08571509,-0.08293334
-3.90297574,604199.00787102,-279798.33944671,30155.03604683,-1.53563378,0.08627788,-0.08293706
-3.90197549,604066.30991008,-279790.85885925,30147.86833219,-1.53531031,0.08684055,-0.08294078
-3.90097524,603933.63991115,-279783.32965049,30140.70029573,-1.53498668,0.08740310,-0.08294451
-3.89997499,603800.99788736,-279775.75183104,30133.53193735,-1.53466290,0.08796552,-0.08294823
-3.89897474,603668.38385185,-279768.12541153,30126.36325693,-1.53433896,0.08852782,-0.08295196
-3.89797449,603535.79781775,-279760.45040260,30119.19425437,-1.53401488,0.08908999,-0.08295569
-3.89697424,603403.23979820,-279752.72681486,30112.02492957,-1.53369064,0.08965204,-0.08295942
-3.89597399,603270.70980632,-279744.95465895,30104.85528242,-1.53336625,0.09021397,-0.08296315
-3.89497374,603138.20785522,-279737.13394551,30097.68531280,-1.53304171,0.09077578,-0.08296688
-3.89397349,603005.73395802,-279729.26468518,30090.51502063,-1.53271702,0.09133746,-0.08297061
-3.89297324,602873.28812783,-279721.34688860,30083.34440578,-1.53239217,0.09189902,-0.08297435
-3.89197299,602740.87037775,-279713.38056641,30076.17346815,-1.53206718,0.09246046,-0.08297808
-3.89097274,602608.48072089,-279705.36572927,30069.00220763,-1.53174203,0.09302177,-0.08298182
-3.88997249,602476.11917035,-279697.30238782,30061.83062413,-1.53141673,0.09358296,-0.08298556
-3.88897224,602343.78573922,-279689.19055271,30054.65871752,-1.53109128,0.09414403,-0.08298930
-3.88797199,602211.48044057,-279681.03023461,30047.48648771,-1.53076568,0.09470498,-0.08299304
-3.88697174,602079.20328751,-279672.82144417,30040.31393459,-1.53043993,0.09526580,-0.08299678
-3.88597149,601946.95429311,-279664.56419205,30033.14105804,-1.53011402,0.09582649,-0.08300052
-3.88497124,601814.73347044,-279656.25848892,30025.96785798,-1.52978796,0.09638707,-0.08300426
-3.88397099,601682.54083257,-279647.90434545,30018.79433427,-1.52946176,0.09694752,-0.08300801
-3.88297074,601550.37639257,-279639.50177231,30011.62048683,-1.52913540,0.09750784,-0.08301176
-3.88197049,601418.24016350,-279631.05078016,30004.44631554,-1.52880889,0.09806805,-0.08301551
-3.88097024,601286.13215842,-279622.55137970,29997.27182030,-1.52848223,0.09862813,-0.08301925
-3.87996999,601154.05239039,-279614.00358159,29990.09700099,-1.52815542,0.09918808,-0.08302300
-3.87896974,601022.00087244,-279605.40739652,29982.92185752,-1.52782846,0.09974792,-0.08302676
-3.87796949,600889.97761762,-279596.76283517,29975.74638977,-1.52750134,0.10030762,-0.08303051
-3.87696924,600757.98263898,-279588.06990823,29968.57059763,-1.52717408,0.10086721,-0.08303426
-3.87596899,600626.01594955,-279579.32862640,29961.39448101,-1.52684666,0.10142667,-0.08303802
-3.87496874,600494.07756235,-279570.53900036,29954.21803979,-1.52651910,0.10198601,-0.08304178
-3.87396849,600362.16749042,-279561.70104081,29947.04127386,-1.52619138,0.10254522,-0.08304553
-3.87296824,600230.28574677,-279552.81475846,29939.86418312,-1.52586351,0.10310431,-0.08304929
-3.87196799,600098.43234443,-279543.88016400,29932.68676747,-1.52553550,0.10366328,-0.08305305
-3.87096774,599966.60729641,-279534.89726813,29925.50902678,-1.52520733,0.10422212,-0.08305681
