Time(Days),x_rot(km),y_rot(km),z_rot(km),vx_rot(km/s),vy_rot(km/s),vz_rot(km/s)
-0.04350725,18666.23342618,-6239.77443460,0.00000000,5.34792095,1.58546461,0.00000000
-0.04425738,19011.48585713,-6136.71668420,0.00000000,5.30640570,1.59470199,0.00000000
-0.04500750,19354.07904905,-6033.07893582,0.00000000,5.26585349,1.60336850,0.00000000
-0.04575763,19694.07429509,-5928.89710544,0.00000000,5.22622995,1.61149715,0.00000000
-0.04650775,20031.53071241,-5824.20504392,0.00000000,5.18750230,1.61911869,0.00000000
-0.04725788,20366.50534148,-5719.03467789,0.00000000,5.14963922,1.62626179,0.00000000
-0.04800800,20699.05324013,-5613.41613909,0.00000000,5.11261083,1.63295319,0.00000000
-0.04875813,21029.22757272,-5507.37788377,0.00000000,5.07638857,1.63921787,0.00000000
-0.04950825,21357.07969463,-5400.94680272,0.00000000,5.04094516,1.64507918,0.00000000
-0.05025838,21682.65923238,-5294.14832283,0.00000000,5.00625452,1.65055897,0.00000000
-0.05100850,22006.01415954,-5187.00650096,0.00000000,4.97229172,1.65567769,0.00000000
-0.05175863,22327.19086877,-5079.54411088,0.00000000,4.93903289,1.66045449,0.00000000
-0.05250875,22646.23424011,-4971.78272352,0.00000000,4.90645521,1.66490736,0.00000000
-0.05325888,22963.18770572,-4863.74278153,0.00000000,4.87453681,1.66905315,0.00000000
-0.05400900,23278.09331145,-4755.44366845,0.00000000,4.84325677,1.67290769,0.00000000
-0.05475913,23590.99177513,-4646.90377277,0.00000000,4.81259504,1.67648587,0.00000000
-0.05550925,23901.92254203,-4538.14054758,0.00000000,4.78253238,1.67980169,0.00000000
-0.05625938,24210.92383748,-4429.17056604,0.00000000,4.75305037,1.68286831,0.00000000
-0.05700950,24518.03271688,-4320.00957299,0.00000000,4.72413132,1.68569813,0.00000000
-0.05775963,24823.28511327,-4210.67253292,0.00000000,4.69575829,1.68830284,0.00000000
-0.05850975,25126.71588247,-4101.17367483,0.00000000,4.66791497,1.69069346,0.00000000
-0.05925988,25428.35884610,-3991.52653407,0.00000000,4.64058575,1.69288039,0.00000000
-0.06001000,25728.24683253,-3881.74399128,0.00000000,4.61375559,1.69487343,0.00000000
-0.06076013,26026.41171571,-3771.83830891,0.00000000,4.58741005,1.69668186,0.00000000
-0.06151025,26322.88445234,-3661.82116531,0.00000000,4.56153528,1.69831444,0.00000000
-0.06226038,26617.69511715,-3551.70368661,0.00000000,4.53611791,1.69977945,0.00000000
-0.06301050,26910.87293653,-3441.49647659,0.00000000,4.51114511,1.70108473,0.00000000
-0.06376063,27202.44632062,-3331.20964467,0.00000000,4.48660454,1.70223771,0.00000000
-0.06451075,27492.44289394,-3220.85283215,0.00000000,4.46248428,1.70324541,0.00000000
-0.06526088,27780.88952448,-3110.43523681,0.00000000,4.43877290,1.70411449,0.00000000
-0.06601100,28067.81235166,-2999.96563605,0.00000000,4.41545935,1.70485127,0.00000000
-0.06676113,28353.23681280,-2889.45240852,0.00000000,4.39253300,1.70546174,0.00000000
-0.06751125,28637.18766861,-2778.90355466,0.00000000,4.36998360,1.70595159,0.00000000
-0.06826138,28919.68902741,-2668.32671578,0.00000000,4.34780127,1.70632621,0.00000000
-0.06901150,29200.76436828,-2557.72919215,0.00000000,4.32597648,1.70659074,0.00000000
-0.06976163,29480.43656326,-2447.11795999,0.00000000,4.30450001,1.70675004,0.00000000
-0.07051175,29758.72789855,-2336.49968750,0.00000000,4.28336300,1.70680875,0.00000000
-0.07126188,30035.66009475,-2225.88075000,0.00000000,4.26255687,1.70677127,0.00000000
-0.07201200,30311.25432635,-2115.26724412,0.00000000,4.24207332,1.70664181,0.00000000
-0.07276213,30585.53124023,-2004.66500125,0.00000000,4.22190438,1.70642436,0.00000000
-0.07351225,30858.51097349,-1894.07960024,0.00000000,4.20204229,1.70612271,0.00000000
-0.07426238,31130.21317053,-1783.51637941,0.00000000,4.18247959,1.70574049,0.00000000
-0.07501250,31400.65699938,-1672.98044786,0.00000000,4.16320906,1.70528115,0.00000000
-0.07576263,31669.86116733,-1562.47669615,0.00000000,4.14422369,1.70474798,0.00000000
-0.07651275,31937.84393601,-1452.00980649,0.00000000,4.12551672,1.70414413,0.00000000
-0.07726288,32204.62313578,-1341.58426231,0.00000000,4.10708162,1.70347259,0.00000000
-0.07801300,32470.21617958,-1231.20435733,0.00000000,4.08891203,1.70273621,0.00000000
-0.07876313,32734.64007619,-1120.87420419,0.00000000,4.07100183,1.70193774,0.00000000
-0.07951325,32997.91144299,-1010.59774259,0.00000000,4.05334508,1.70107977,0.00000000
-0.08026338,33260.04651823,-900.37874699,0.00000000,4.03593601,1.70016480,0.00000000
-0.08101350,33521.06117282,-790.22083406,0.00000000,4.01876904,1.69919520,0.00000000
-0.08176363,33780.97092159,-680.12746953,0.00000000,4.00183877,1.69817327,0.00000000
-0.08251375,34039.79093422,-570.10197484,0.00000000,3.98513995,1.69710116,0.00000000
-0.08326388,34297.53604566,-460.14753339,0.00000000,3.96866750,1.69598097,0.00000000
-0.08401400,34554.22076623,-350.26719654,0.00000000,3.95241649,1.69481469,0.00000000
-0.08476413,34809.85929129,-240.46388929,0.00000000,3.93638212,1.69360422,0.00000000
-0.08551425,35064.46551060,-130.74041561,0.00000000,3.92055975,1.69235140,0.00000000
-0.08626438,35318.05301725,-21.09946366,0.00000000,3.90494487,1.69105796,0.00000000
-0.08701450,35570.63511635,88.45638941,0.00000000,3.88953310,1.68972560,0.00000000
-0.08776463,35822.22483333,197.92467280,0.00000000,3.87432020,1.68835591,0.00000000
-0.08851475,36072.83492199,307.30301759,0.00000000,3.85930202,1.68695043,0.00000000
-0.08926488,36322.47787224,416.58915255,0.00000000,3.84447456,1.68551064,0.00000000
-0.09001500,36571.16591756,525.78090015,0.00000000,3.82983392,1.68403796,0.00000000
-0.09076513,36818.91104221,634.87617267,0.00000000,3.81537630,1.68253373,0.00000000
-0.09151525,37065.72498815,743.87296862,0.00000000,3.80109802,1.68099928,0.00000000
-0.09226538,37311.61926174,852.76936921,0.00000000,3.78699549,1.67943583,0.00000000
-0.09301550,37556.60514024,961.56353503,0.00000000,3.77306523,1.67784460,0.00000000
-0.09376563,37800.69367804,1070.25370286,0.00000000,3.75930385,1.67622674,0.00000000
-0.09451575,38043.89571270,1178.83818269,0.00000000,3.74570804,1.67458335,0.00000000
-0.09526588,38286.22187073,1287.31535478,0.00000000,3.73227460,1.67291550,0.00000000
-0.09601600,38527.68257327,1395.68366694,0.00000000,3.71900039,1.67122420,0.00000000
-0.09676613,38768.28804149,1503.94163183,0.00000000,3.70588238,1.66951045,0.00000000
-0.09751625,39008.04830191,1612.08782445,0.00000000,3.69291759,1.66777517,0.00000000
-0.09826638,39246.97319144,1720.12087974,0.00000000,3.68010315,1.66601928,0.00000000
-0.09901650,39485.07236228,1828.03949026,0.00000000,3.66743623,1.66424366,0.00000000
-0.09976663,39722.35528670,1935.84240399,0.00000000,3.65491410,1.66244913,0.00000000
-0.10051675,39958.83126162,2043.52842219,0.00000000,3.64253409,1.66063650,0.00000000
-0.10126688,40194.50941311,2151.09639742,0.00000000,3.63029360,1.65880656,0.00000000
-0.10201700,40429.39870064,2258.54523151,0.00000000,3.61819008,1.65696004,0.00000000
-0.10276713,40663.50792130,2365.87387380,0.00000000,3.60622107,1.65509767,0.00000000
-0.10351725,40896.84571383,2473.08131929,0.00000000,3.59438414,1.65322014,0.00000000
-0.10426738,41129.42056251,2580.16660696,0.00000000,3.58267695,1.65132811,0.00000000
-0.10501750,41361.24080098,2687.12881813,0.00000000,3.57109721,1.64942222,0.00000000
-0.10576763,41592.31461590,2793.96707491,0.00000000,3.55964266,1.64750309,0.00000000
-0.10651775,41822.65005052,2900.68053865,0.00000000,3.54831113,1.64557132,0.00000000
-0.10726788,42052.25500812,3007.26840855,0.00000000,3.53710048,1.64362748,0.00000000
-0.10801800,42281.13725538,3113.72992020,0.00000000,3.52600863,1.64167212,0.00000000
-0.10876813,42509.30442560,3220.06434435,0.00000000,3.51503355,1.63970577,0.00000000
